,story_key,treatment_key,author_stance,editor_stance,bertscore_precision,bertscore_recall,bertscore_f1,fact_presence_avg
46,tariffs,control,neutral,neutral,-0.06842532008886337,-0.18995705246925354,-0.1281268149614334,0.09299507737159729
47,tariffs,control,neutral,neutral,0.20325462520122528,0.5418905019760132,0.36820632219314575,0.71003258228302
48,tariffs,control,neutral,neutral,-0.04898221045732498,-0.015166285447776318,-0.03045492246747017,0.4098740220069885
49,tariffs,control,neutral,neutral,0.22986187040805817,0.7025970220565796,0.45677897334098816,0.7935589551925659
50,climate,pro_vs_anti,pro,anti,0.008081750012934208,-0.1678195744752884,-0.07970971614122391,0.2520425021648407
51,climate,pro_vs_anti,pro,anti,0.4305252730846405,0.6547218561172485,0.5410805344581604,0.7111355066299438
52,climate,pro_vs_anti,pro,anti,0.03177656605839729,0.21935084462165833,0.12525348365306854,0.6669368147850037
53,climate,pro_vs_anti,pro,anti,0.2905694544315338,0.4032634496688843,0.3473796546459198,0.6850255727767944
54,climate,pro_vs_anti,pro,anti,-0.04450410231947899,-0.09163300693035126,-0.06644812971353531,0.36435407400131226
55,climate,pro_vs_anti,pro,anti,0.19942282140254974,0.4142650067806244,0.3057771623134613,0.6431140899658203
56,climate,pro_vs_anti,pro,anti,0.17535586655139923,0.2767663300037384,0.22682321071624756,0.6690876483917236
57,climate,pro_vs_anti,pro,anti,0.22981905937194824,0.3804776072502136,0.30519938468933105,0.6840715408325195
58,climate,pro_vs_anti,pro,anti,0.48075446486473083,0.4325447678565979,0.4574238657951355,0.6776794195175171
59,climate,pro_vs_anti,pro,anti,0.10483245551586151,0.2795073390007019,0.1920010894536972,0.6610316038131714
60,climate,anti_vs_pro,anti,pro,0.2528619170188904,0.6845157146453857,0.4609544277191162,0.7416837811470032
61,climate,anti_vs_pro,anti,pro,0.08276170492172241,0.2137061059474945,0.14877936244010925,0.6780976057052612
62,climate,anti_vs_pro,anti,pro,-0.03554293140769005,-0.15470843017101288,-0.09408199787139893,0.35333284735679626
63,climate,anti_vs_pro,anti,pro,0.031681761145591736,-0.06388474255800247,-0.014916501939296722,0.4253963828086853
64,climate,anti_vs_pro,anti,pro,0.3389725685119629,0.725568950176239,0.5262155532836914,0.7013974785804749
65,climate,anti_vs_pro,anti,pro,0.12203527241945267,0.3539479076862335,0.23663970828056335,0.6345349550247192
66,climate,anti_vs_pro,anti,pro,0.43399661779403687,0.7018216848373413,0.5653628706932068,0.768558144569397
67,climate,anti_vs_pro,anti,pro,0.33523839712142944,0.5593832731246948,0.445883572101593,0.7721157670021057
68,climate,anti_vs_pro,anti,pro,0.451688677072525,0.6175490021705627,0.5341225266456604,0.6731457710266113
69,climate,anti_vs_pro,anti,pro,0.4468561112880707,0.6261473298072815,0.5357919335365295,0.7064653635025024
70,climate,neutral_vs_pro,neutral,pro,0.06232668459415436,0.027407271787524223,0.04635709896683693,0.4829528331756592
71,climate,neutral_vs_pro,neutral,pro,0.028947636485099792,-0.06709302216768265,-0.017887653782963753,0.39248278737068176
72,climate,neutral_vs_pro,neutral,pro,-0.07244992256164551,-0.0529412180185318,-0.06098824739456177,0.5203784704208374
73,climate,neutral_vs_pro,neutral,pro,-0.10196497291326523,-0.22523221373558044,-0.16250641644001007,0.16548028588294983
74,climate,neutral_vs_pro,neutral,pro,0.28381070494651794,0.46305984258651733,0.37294644117355347,0.6967870593070984
75,climate,neutral_vs_pro,neutral,pro,0.02486041933298111,0.07972381263971329,0.05368238314986229,0.4642505645751953
76,climate,neutral_vs_pro,neutral,pro,-0.07463927567005157,-0.16239415109157562,-0.11710073798894882,0.22991310060024261
77,climate,neutral_vs_pro,neutral,pro,-0.027028193697333336,-0.10800725966691971,-0.06612145155668259,0.33373919129371643
78,climate,neutral_vs_pro,neutral,pro,-0.0007552541210316122,-0.03824573755264282,-0.017916612327098846,0.47479769587516785
79,climate,neutral_vs_pro,neutral,pro,-0.05203612521290779,-0.0952540785074234,-0.07199736684560776,0.472756028175354
80,climate,pro_vs_neutral,pro,neutral,0.19139732420444489,0.6273252367973328,0.40145474672317505,0.7701433300971985
81,climate,pro_vs_neutral,pro,neutral,0.1339905709028244,0.40491393208503723,0.26712465286254883,0.6518369913101196
82,climate,pro_vs_neutral,pro,neutral,-0.03899800032377243,-0.09790665656328201,-0.06689628958702087,0.3295533359050751
83,climate,pro_vs_neutral,pro,neutral,0.10504470765590668,0.4156607985496521,0.256926029920578,0.6594104170799255
84,climate,pro_vs_neutral,pro,neutral,-0.022717054933309555,0.08695252239704132,0.03308844938874245,0.609080970287323
85,climate,pro_vs_neutral,pro,neutral,0.1669101119041443,0.5722453594207764,0.3628799319267273,0.7127354145050049
86,climate,pro_vs_neutral,pro,neutral,0.20265395939350128,0.5903939008712769,0.39047423005104065,0.7097663879394531
87,climate,pro_vs_neutral,pro,neutral,0.21144957840442657,0.49860879778862,0.3521925210952759,0.7005255818367004
88,climate,pro_vs_neutral,pro,neutral,-0.01889514923095703,-0.0631532371044159,-0.03943336009979248,0.4182303249835968
89,climate,pro_vs_neutral,pro,neutral,0.17718474566936493,0.5657686591148376,0.3654036223888397,0.8252184391021729
90,climate,control,neutral,neutral,0.043485306203365326,0.03308313339948654,0.03984126076102257,0.5037630200386047
91,climate,control,neutral,neutral,-0.14358319342136383,-0.19525231420993805,-0.16765905916690826,0.08907432854175568
92,climate,control,neutral,neutral,-0.09482348710298538,-0.19927875697612762,-0.14575912058353424,0.15096959471702576
93,climate,control,neutral,neutral,0.12122660130262375,0.5528725981712341,0.3293147087097168,0.8115221858024597
94,climate,control,neutral,neutral,-0.10216908156871796,-0.1952020823955536,-0.14727312326431274,0.13887497782707214
95,climate,control,neutral,neutral,-0.058549705892801285,-0.18658465147018433,-0.12159684300422668,0.12162049859762192
96,climate,control,neutral,neutral,0.03172067552804947,-0.09275643527507782,-0.02963523380458355,0.3635895848274231
97,climate,control,neutral,neutral,-0.08961842209100723,-0.1857852339744568,-0.13633675873279572,0.13658513128757477
98,climate,control,neutral,neutral,0.3063388764858246,0.6781342029571533,0.48671191930770874,0.7871662378311157
99,climate,control,neutral,neutral,-0.04814170300960541,-0.19276775419712067,-0.11972226202487946,0.1887587308883667
100,ai_regulation,pro_vs_anti,pro,anti,-0.007478607818484306,0.24647337198257446,0.11774914711713791,0.4787253737449646
